?spgqp_err,K,epssqr,abserr,energy,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,80000,976695,1.57394e+06,1,2,44, 1997.1, 0.0240691, 1196.4, 0, 0, 1, 2, 0.010546207427978516, 0.0028970241546630859, 0.001873016357421875, 0.00026702880859375, 0.00018787384033203125, 0, 0.00089502334594726562, 0.0044262409210205078, 10.22090970492453, 10.082146000186347, 0.13876370473818472, 96013, 96057, 724.228, 296.621, 214.143, 26.0668, 78.9262, 0.0436471, 108.112, 0.31583, 
1e-6,2,90000,976696,1.9547e+06,1,2,45, 2032.41, 0.0245509, 1211.76, 0, 0, 1, 2, 0.016366004943847656, 0.0030770301818847656, 0.0033159255981445312, 0.00038504600524902344, 0.0001850128173828125, 0, 0.0017521381378173828, 0.0076508522033691406, 10.238254895985442, 10.082146980323012, 0.15610791566242913, 96014, 96059, 724.244, 296.625, 214.149, 26.0672, 78.9279, 0.043648, 108.116, 0.316263, 
1e-6,2,100000,1.12432e+06,1.03544e+07,1,2,46, 2151.36, 0.0250251, 1312.74, 0, 0, 11216, 11217, 87.897516965866089, 0.0029120445251464844, 0.0020110607147216797, 0.00023388862609863281, 0.00020194053649902344, 0, 0.00089311599731445312, 87.891264915466309, 10.24646645258337, 10.09770482011422, 0.14876163246914981, 107230, 107276, 812.142, 332.18, 240.416, 29.1775, 88.673, 0.0487792, 121.303, 0.343356, 
1e-6,2,200000,1.44649e+06,1.5088e+07,1,2,47, 2319.45, 0.025507, 1456.61, 0, 0, 17731, 17732, 133.77605819702148, 0.0029518604278564453, 0.002819061279296875, 0.00026082992553710938, 0.00018596649169921875, 0, 0.0013818740844726562, 133.76845860481262, 10.357102683258184, 10.131552121901688, 0.22555056135650042, 124961, 125008, 945.918, 384.918, 281.192, 34.1686, 103.559, 0.0570357, 141.635, 0.387092, 
1e-6,2,300000,1.68657e+06,1.09921e+07,1,2,48, 2444.88, 0.0259902, 1567.35, 0, 0, 12492, 12493, 94.947493076324463, 0.0028700828552246094, 0.0035989284515380859, 0.0003662109375, 0.00018310546875, 0, 0.0020008087158203125, 94.93847393989563, 10.436768141507901, 10.156347474253298, 0.28042066725460363, 137453, 137501, 1040.87, 423.534, 309.519, 37.6126, 113.945, 0.0626426, 155.775, 0.417331, 
1e-6,2,400000,1.84793e+06,7.05121e+06,1,2,49, 2530.71, 0.0264721, 1632.55, 0, 0, 7752, 7753, 56.255386114120483, 0.0029020309448242188, 0.0019960403442382812, 0.0002269744873046875, 0.0001850128173828125, 0, 0.0009098052978515625, 56.249166250228882, 10.502018982600902, 10.172996694592268, 0.32902228800863442, 145205, 145254, 1097.12, 445.99, 326.408, 39.6749, 120.079, 0.0658345, 164.467, 0.436782, 
1e-6,2,500000,1.99351e+06,6.02144e+06,1,2,50, 2604.78, 0.0270183, 1685.76, 0, 0, 6210, 6211, 45.382482051849365, 0.0028328895568847656, 0.0017998218536376953, 0.0002231597900390625, 0.00018906593322753906, 0, 0.001007080078125, 45.376430034637451, 10.553422087370834, 10.187970985463332, 0.36545110190751312, 151415, 151465, 1142.5, 464.396, 339.997, 41.3211, 125.004, 0.0686791, 171.265, 0.451515, 
1e-6,2,600000,2.07707e+06,4.12117e+06,1,2,51, 2662.01, 0.0275834, 1720.35, 0, 0, 3562, 3563, 26.053643941879272, 0.0029180049896240234, 0.0024919509887695312, 0.0002288818359375, 0.00018310546875, 0, 0.00089597702026367188, 26.046926021575928, 10.605814033184126, 10.196588906533595, 0.40922512665053246, 154977, 155028, 1168.56, 476.45, 347.028, 42.2081, 127.522, 0.0703099, 174.818, 0.461095, 
1e-6,2,700000,2.1096e+06,2.38684e+06,1,2,52, 2700.23, 0.0280652, 1737.53, 0, 0, 1277, 1278, 9.1069331169128418, 0.0029292106628417969, 0.0017979145050048828, 0.00022387504577636719, 0.00018787384033203125, 0, 0.0010561943054199219, 9.1007380485534668, 10.664612731578009, 10.199976898353746, 0.4646358332242605, 156254, 156306, 1177.66, 480.515, 349.545, 42.524, 128.432, 0.0709059, 176.113, 0.46437, 
1e-6,2,800000,2.20577e+06,3.087e+06,1,2,53, 2743.98, 0.0285482, 1760.37, 0, 0, 2258, 2259, 16.173048973083496, 0.0028378963470458984, 0.0022530555725097656, 0.00033092498779296875, 0.00018405914306640625, 0, 0.0011029243469238281, 16.166340112686157, 10.699518858835136, 10.209890097895016, 0.48962876094011965, 158512, 158565, 1193.84, 487.036, 354.395, 43.1166, 130.201, 0.0720232, 178.547, 0.470235, 
1e-6,2,900000,2.21088e+06,1.68424e+06,1,2,54, 2775.81, 0.0290282, 1771.84, 0, 0, 223, 224, 1.6104800701141357, 0.002880096435546875, 0.0017850399017333984, 0.00026416778564453125, 0.00018405914306640625, 0, 0.00093007087707519531, 1.6044366359710693, 10.758863566872026, 10.210431118787188, 0.5484324480848406, 158735, 158789, 1195.45, 487.68, 354.883, 43.1754, 130.377, 0.0721209, 178.789, 0.471031, 
1e-6,2,1e+06,2.2626e+06,2.90097e+06,1,2,55, 2821.47, 0.0295134, 1799.43, 0, 0, 1716, 1717, 12.968427181243896, 0.0028829574584960938, 0.0018370151519775391, 0.00022292137145996094, 0.0001850128173828125, 1.1920928955078125e-06, 0.00092792510986328125, 12.962370157241821, 10.798820809946402, 10.215790079240737, 0.58303073070567113, 160451, 160506, 1208.42, 493.079, 358.666, 43.6361, 131.784, 0.0728428, 180.702, 0.475419, 
