n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
39,6,2,0.05,0.247904,1,2,770, 306.878, 0.146972, 305.686, 0, 0, 1000, 1001, 0.65715670585632324, 8.4161758422851562e-05, 9.8943710327148438e-05, 0.00010561943054199219, 1.4781951904296875e-05, 0, 0.0002193450927734375, 0.65663385391235352, 17.423550472246355, 17.391289240906463, 0.032261231339913377, 459505, 460292, 302.114, 38.4492, 45.4939, 48.6782, 67.5548, 0.141945, 101.273, 0.522994, 
43,10,2,50,0.484475,1,2,636, 219.252, 0.122597, 218.283, 0, 0, 1000, 1001, 0.6616823673248291, 8.4638595581054688e-05, 9.8466873168945312e-05, 0.00010633468627929688, 1.3828277587890625e-05, 0, 0.00022292137145996094, 0.66115617752075195, 4292.801752497131, 4292.2547813351848, 0.54697116194593143, 327293, 327947, 216.684, 27.6102, 32.2545, 34.8252, 49.2124, 0.100525, 72.279, 0.401649, 
47,2,2,1e-14,0,1,2,779, 222.584, 0.148763, 221.397, 0, 0, 74, 75, 0.049309730529785156, 8.487701416015625e-05, 9.8705291748046875e-05, 0.00010704994201660156, 1.430511474609375e-05, 0, 0.00021648406982421875, 0.048788309097290039, 0.4390103333497492, 0.43789975799594727, 0.001110575353690827, 334924, 335720, 220.475, 28.3758, 33.1744, 35.8372, 49.4745, 0.104905, 73.0729, 0.435508, 
29,8,2,0.05,0.444485,1,2,760, 234.762, 0.143928, 233.555, 0, 0, 67, 68, 0.044978857040405273, 8.4400177001953125e-05, 9.8466873168945312e-05, 0.00010609626770019531, 1.430511474609375e-05, 0, 0.00021862983703613281, 0.044456958770751953, 273.30672945734602, 273.22798302472222, 0.078746432623837612, 352016, 352792, 232.261, 29.5759, 34.5588, 37.3812, 52.7323, 0.11066, 77.4646, 0.437954, 
62,1,2,1e-14,0,1,2,802, 214.531, 0.152849, 213.314, 0, 0, 199, 200, 0.13191795349121094, 8.3446502685546875e-05, 0.00010037422180175781, 0.00010633468627929688, 1.4066696166992188e-05, 0, 0.00021767616271972656, 0.13139605522155762, 0.38194392843198377, 0.38118338369555183, 0.00076054473639862474, 322035, 322854, 212.353, 26.9703, 32.0786, 34.1214, 48.4373, 0.101779, 70.2222, 0.421123, 
54,1,2,1e-14,0,1,2,768, 222.802, 0.146294, 221.631, 0, 0, 223, 224, 0.14681577682495117, 8.392333984375e-05, 9.7990036010742188e-05, 0.00010204315185546875, 1.430511474609375e-05, 0, 0.00020933151245117188, 0.14630818367004395, 0.38398871500925047, 0.38305517459890953, 0.00093354041030755015, 334505, 335290, 219.43, 28.0283, 33.0402, 35.1793, 50.0542, 0.105434, 72.5916, 0.43103, 
61,9,2,0.1,0.435966,1,2,635, 241.389, 0.12084, 240.42, 0, 0, 1000, 1001, 0.65288114547729492, 8.4400177001953125e-05, 9.822845458984375e-05, 0.00010752677917480469, 1.4066696166992188e-05, 0, 0.00021600723266601562, 0.65236091613769531, 1096.2177972405384, 1095.9788491734553, 0.23894806708306648, 366855, 367508, 239.589, 30.9209, 36.0875, 39.2631, 53.5406, 0.112573, 79.248, 0.416102, 
71,1,2,1e-12,0,1,2,783, 214.062, 0.145778, 212.759, 0, 0, 79, 80, 0.052627325057983398, 8.4400177001953125e-05, 9.5605850219726562e-05, 0.00010657310485839844, 1.430511474609375e-05, 0, 0.00022006034851074219, 0.052106380462646484, 0.38343072383053267, 0.38254121233350391, 0.00088951149706206723, 322336, 323136, 211.731, 26.9484, 30.9145, 34.059, 48.2804, 0.0992997, 71.0157, 0.413476, 
91,10,2,0.01,0.489636,1,2,616, 225.056, 0.119149, 224.095, 0, 0, 1000, 1001, 0.6573023796081543, 8.487701416015625e-05, 9.822845458984375e-05, 0.00010514259338378906, 1.4066696166992188e-05, 0, 0.00021910667419433594, 0.65678095817565918, 4327.9043054622598, 4327.5662114724946, 0.3380939897642064, 338907, 339542, 223.328, 28.5033, 33.331, 35.8462, 50.7425, 0.106532, 74.3949, 0.403732, 
56,7,2,0.1,0.38508,1,2,817, 303.159, 0.155642, 301.931, 0, 0, 1000, 1001, 0.66187644004821777, 8.4161758422851562e-05, 9.7990036010742188e-05, 0.00010657310485839844, 1.4066696166992188e-05, 0, 0.00021982192993164062, 0.66135382652282715, 67.382527112635643, 67.291713357807879, 0.090813754827742399, 450940, 451773, 298.99, 38.227, 44.5032, 47.8739, 67.8741, 0.141931, 99.8274, 0.54241, 
